rdt_id,start_hour,day_of_week,month,is_weekend,number_of_affected_stations,number_of_affected_lines,primary_line,cause_group,statistical_cause_nl,long_disruption
57284,4,Wednesday,1,0,3,1.0,Den Haag HS - Rotterdam Centraal,accidents,aanrijding,0
57285,4,Wednesday,1,0,3,1.0,Den Haag HS - Rotterdam Centraal,accidents,aanrijding,1
57286,4,Wednesday,1,0,8,1.0,Dordrecht - Rotterdam Centraal,accidents,aanrijding,0
57287,4,Wednesday,1,0,2,1.0,Rotterdam Centraal - Schiphol Airport (HSL),logistical,verstoring elders,0
57288,4,Wednesday,1,0,2,1.0,Rotterdam Centraal - Schiphol Airport (HSL),logistical,verstoring elders,1
57290,10,Wednesday,1,0,5,1.0,Almelo - Deventer,rolling stock,defecte trein,0
57291,10,Wednesday,1,0,3,1.0,Alkmaar - Den Helder,external,voorwerp in de bovenleiding,1
57292,11,Wednesday,1,0,7,1.0,Hamm (Westf.) - Venlo,rolling stock,beperkingen in de materieelinzet,1
57293,12,Wednesday,1,0,7,3.0,Arnhem Centraal - Basel SBB,logistical,problemen op het spoor in het buitenland,0
57294,13,Wednesday,1,0,3,2.0,Den Haag Centraal - Utrecht Centraal,rolling stock,defecte trein,0
57296,14,Wednesday,1,0,6,1.0,Dordrecht - Roosendaal,external,voorwerp in de bovenleiding,0
57297,14,Wednesday,1,0,3,1.0,Alkmaar - Den Helder,infrastructure,defecte bovenleiding,1
57298,14,Wednesday,1,0,6,3.0,Heerlen - Maastricht,external,voorwerp in de bovenleiding,1
57299,14,Wednesday,1,0,3,1.0,Baarn - Utrecht Centraal,external,boom op het spoor,1
57301,16,Wednesday,1,0,4,3.0,Almere Oostvaarders - Utrecht Centraal,rolling stock,defecte trein,0
57302,18,Wednesday,1,0,2,1.0,Deventer - Zwolle,infrastructure,seinstoring,1
57303,18,Wednesday,1,0,3,2.0,Amersfoort - Schiphol Airport,rolling stock,defecte trein,0
57304,18,Wednesday,1,0,4,1.0,Den Haag HS - Rotterdam Centraal,external,rommel op het spoor,1
57305,19,Wednesday,1,0,6,1.0,Arnhem Centraal - Zutphen,external,inzet van hulpdiensten,1
57306,19,Wednesday,1,0,3,1.0,Eindhoven - Venlo,rolling stock,defecte trein,0
57307,19,Wednesday,1,0,2,1.0,Arnhem Centraal - Winterswijk,infrastructure,sein- en wisselstoring,0
57308,21,Wednesday,1,0,4,1.0,Den Haag HS - Rotterdam Centraal,accidents,aanrijding,1
57309,21,Wednesday,1,0,4,1.0,Leeuwarden - Stavoren,infrastructure,seinstoring,1
57310,22,Wednesday,1,0,5,1.0,Almelo - Mariënberg,external,persoon op het spoor,1
57312,4,Thursday,1,0,2,1.0,Den Haag HS - Rotterdam Centraal,infrastructure,storing in een tunnel,0
57313,7,Thursday,1,0,6,1.0,Aachen Hbf - Heerlen,staff,problemen met de personeelsinzet,1
57315,9,Thursday,1,0,2,1.0,Roosendaal - Vlissingen,accidents,aanrijding,1
57316,9,Thursday,1,0,5,1.0,Groningen - Zwolle,infrastructure,sein-en overwegstoring,1
57317,10,Thursday,1,0,5,1.0,Amersfoort - Utrecht Centraal,rolling stock,defecte trein,1
57318,12,Thursday,1,0,2,1.0,Eindhoven - Venlo,accidents,aanrijding,1
57319,12,Thursday,1,0,3,1.0,Kampen - Zwolle,infrastructure,overwegstoring,0
57320,13,Thursday,1,0,4,3.0,Berlin Ostbahnhof - Hengelo,rolling stock,beperkingen in de materieelinzet,1
57321,13,Thursday,1,0,9,1.0,'s-Hertogenbosch - Utrecht Centraal,unknown,technisch onderzoek,1
57322,13,Thursday,1,0,3,1.0,Haarlem - Leiden Centraal,accidents,aanrijding,1
57323,14,Thursday,1,0,6,1.0,Den Haag Centraal - Leiden Centraal,accidents,aanrijding,1
57325,17,Thursday,1,0,8,1.0,Dordrecht - Rotterdam Centraal,rolling stock,defecte trein,0
57326,18,Thursday,1,0,5,3.0,Groningen - Bad Nieuweschans,external,rommel op het spoor,0
57327,19,Thursday,1,0,5,1.0,Amsterdam Centraal - Hoorn,accidents,aanrijding,1
